id_nodo,distrito,lat_mean,lon_mean,count
367,PUENTE PIEDRA,-11.87898105673573,-77.06703342163802,2002
368,SAN ANTONIO,-11.905543512739083,-76.86300447271292,29
369,SAN MIGUEL,-12.072446939053114,-77.09906054864959,2877
370,ATE,-12.046479449793367,-76.93506192979486,1236
371,SAN BORJA,-12.11116512063103,-76.98883549632663,2070
372,ATE,-12.035535099660912,-76.87726097318838,1198
373,RIMAC,-12.010484959408187,-77.03504287089756,1841
374,ASIA,-12.833510438902707,-76.5332138708131,49
375,LURIN,-12.23294465039317,-76.88824354471376,1220
376,VEGUETA,-10.927707016872334,-77.64811063962918,145
377,ANCON,-11.813267163040468,-77.13256762539514,949
378,LA VICTORIA,-12.077198533937489,-77.02305071250021,5108
379,JESUS MARIA,-12.085151342973358,-77.05991316531639,3274
380,BARRANCA,-10.764897835712217,-77.64915652749588,142
381,LIMA,-11.98107229570436,-76.90519610559073,390
382,CIENEGUILLA,-12.068903515270609,-76.78157208531087,132
383,COMAS,-11.897286798790903,-77.05239080230001,2042
384,RIMAC,-12.034268567497758,-77.0391741882176,3152
385,BARRANCA,-10.869743618278566,-77.67867576946534,238
386,QUILMANA,-12.957286665835634,-76.32935375928423,91
387,CHICLA,-11.705395427369679,-76.26316141540508,43
388,BARRANCA,-10.750768656825818,-77.75483125648849,957
389,HUACHO,-11.17840662761023,-77.51100983664303,49
390,COMAS,-11.951828203324357,-77.05659039691311,2760
391,VILLA EL SALVADOR,-12.236835651049672,-76.93704543799772,1790
392,SAN BORJA,-12.093208812325715,-76.9883475138599,2052
393,PACHANGARA,-10.77429279768679,-76.82301128891321,41
394,SAN JUAN DE LURIGANCHO,-11.933661938672468,-76.97486377420863,1823
395,IMPERIAL,-13.003086681964351,-76.38023189343828,156
396,COMAS,-11.942533180885084,-77.03444870879694,1514
397,SAN MARTIN DE PORRES,-12.029362267963297,-77.07575739858453,2093
398,RIMAC,-12.027264594019334,-77.02963043810553,3299
399,VILLA MARIA DEL TRIUNFO,-12.190334858883167,-76.92544345230208,1793
